#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution"/>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution">
#        <distribution id="stlikelihood" spec="phydyn.distribution.STreeLikelihood">
#            <treeIntervals spec="phydyn.distribution.STreeIntervals">
#                <tree IsLabelledNewick="true" adjustTipHeights="false" id="NewickTree.t:Species" newick="(((inv3loc_0:2.5,inv4loc_1:8):4,(inv5loc_1:10,inv6loc_1:6):5.8):27,(inv2loc_0:10,inv1loc_0:20):22):0.0;" spec="beast.util.TreeParser">
#                    <taxonset spec="beast.evolution.alignment.TaxonSet">
#                        <taxon id="inv3loc_01" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="inv4loc_11" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="inv5loc_11" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="inv6loc_11" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="inv2loc_01" spec="beast.evolution.alignment.Taxon"/>
#                        <taxon id="inv1loc_01" spec="beast.evolution.alignment.Taxon"/>
#                    </taxonset>
#                </tree>
#            </treeIntervals>
#            <popmodel evaluator="compiled" id="simplemodel" spec="phydyn.model.PopModelODE">
#                <matrixeq destination="I0" origin="I0" spec="phydyn.model.MatrixEquation" type="birth" value=" 100*I0/2 "/>
#                <matrixeq destination="I1" origin="I1" spec="phydyn.model.MatrixEquation" type="birth" value=" 100*I1/2 "/>
#                <matrixeq destination="I1" origin="I0" spec="phydyn.model.MatrixEquation" type="migration" value=" gamma01*I0 "/>
#                <matrixeq destination="I0" origin="I1" spec="phydyn.model.MatrixEquation" type="migration" value=" gamma10*I1 "/>
#                <matrixeq origin="I0" spec="phydyn.model.MatrixEquation" type="death" value=" 100*I0/2 -gamma01*I0+ gamma10*I1 "/>
#                <matrixeq origin="I1" spec="phydyn.model.MatrixEquation" type="death" value=" 100*I1/2  -gamma10*I1+ gamma01*I0  "/>
#                <matrixeq origin="S" spec="phydyn.model.MatrixEquation" type="nondeme" value=" 0  "/>
#                <definition spec="phydyn.model.Definition" value=" gamma01 = m10*I1/I0 "/>
#                <definition spec="phydyn.model.Definition" value=" gamma10 = m01*I0/I1 "/>
#                <popParams aTol="1.0E-4" id="simpleparams" integrationSteps="1001" method="classicrk" order="3" rTol="0.01" spec="phydyn.model.TrajectoryParameters">
#                    <parameter lower="0.0" name="t0" upper="0.0">-0.1</parameter>
#                    <initialValue spec="phydyn.model.ParamValue">
#I0                        <parameter id="initI0" name="values" upper="140.0">50.0</parameter>
#                    </initialValue>
#                    <initialValue spec="phydyn.model.ParamValue">
#IX I1                        <parameter dimension="2" lower="0.0" name="values" upper="0.0">52.0 25.0</parameter>
#                    </initialValue>
#                    <initialValue spec="phydyn.model.ParamValue">
#S                        <parameter lower="0.0" name="values" upper="0.0">100.0</parameter>
#                    </initialValue>
#                </popParams>
#                <modelParams id="simplerates" spec="phydyn.model.ModelParameters">
#                    <param spec="phydyn.model.ParamValue">
#m10 dummy                        <parameter dimension="2" lower="0.0" name="values" upper="0.0">0.01 5.0</parameter>
#                    </param>
#                    <param spec="phydyn.model.ParamValue">
#m01                        <parameter id="migRate" name="values" upper="140.0">0.001</parameter>
#                    </param>
#                </modelParams>
#            </popmodel>
#            <useStateName spec="beast.core.parameter.BooleanParameter">false</useStateName>
#        </distribution>
#    </distribution>
#</input>
#
Sample	migRate	posterior	
0	0.001	-146.1664900044283	
1	0.00102	-145.93552681224713	
2	0.0010404000000000001	-145.70674547948448	
3	0.0010612080000000001	-145.4801893431481	
4	0.0010824321600000002	-145.25590094245646	
5	0.0010824321600000002	-143.5469795120465	
6	0.0010824321600000002	-141.88876278067136	
7	0.0010824321600000002	-140.27998156147342	
8	0.0011040808032000001	-140.08459259420493	
9	0.0011040808032000001	-138.53251646123522	
10	0.0011261624192640003	-138.34807431522742	
